internalId	Name	Mentions
bacteria-7985	barnesiella	20
bacteria-2697	lachnoclostridium	20
bacteria-4542	lactobacillus gasseri	20
bacteria-2932	mycoplasma pneumoniae	20
bacteria-11380	oscillibacter	20
bacteria-4460	vibrio cholerae	20
bacteria-11334	agrobacterium tumefaciens	19
bacteria-8662	bacteroides vulgatus	19
bacteria-9923	candidatus	19
bacteria-12063	eggerthella	19
bacteria-2566	eikenella	19
bacteria-11046	lactococcus lactis	19
bacteria-7182	proteus vulgaris	19
bacteria-7756	tenericutes	19
bacteria-10326	bacteroides uniformis	18
bacteria-563	brucella abortus	18
bacteria-6929	legionella pneumophila	18
bacteria-6948	salmonella enteritidis	18
bacteria-9826	turicibacter	18
bacteria-11819	actinobacillus	17
bacteria-12784	anaerococcus	17
bacteria-10110	coxiella	17
bacteria-11120	flavonifractor	17
bacteria-10799	forsythia	17
bacteria-12285	lactobacillus paracasei	17
bacteria-6577	pediococcus	17
bacteria-4558	porphyromonadaceae	17
bacteria-10273	ralstonia	17
bacteria-12785	rhodococcus	17
bacteria-7464	shigella flexneri	17
bacteria-3890	sutterella	17
bacteria-890	bifidobacterium adolescentis	16
bacteria-4829	citrobacter freundii	16
bacteria-7321	haemophilus parainfluenzae	16
bacteria-9075	phascolarctobacterium	16
bacteria-3773	prevotella melaninogenica	16
bacteria-10136	ruminococcus gnavus	16
bacteria-337	bifidobacterium animalis	15
bacteria-1849	coriobacteriaceae	15
bacteria-4112	lactobacillus jensenii	15
bacteria-5822	micromonospora	15
bacteria-3629	muribaculaceae	15
bacteria-7340	mycoplasma genitalium	15
bacteria-4220	pantoea	15
bacteria-6200	rothia mucilaginosa	15
bacteria-12607	shewanella	15
bacteria-4313	slackia	15
bacteria-9861	ureaplasma urealyticum	15
bacteria-3829	yersinia enterocolitica	15
bacteria-1638	aerococcus	14
bacteria-6675	bacillus anthracis	14
bacteria-9468	bacteroides thetaiotaomicron	14
bacteria-10511	butyricicoccus	14
bacteria-4789	cutibacterium	14
bacteria-9457	micrococcus luteus	14
bacteria-2859	subdoligranulum	14
bacteria-3126	syncytium	14
bacteria-2491	actinomycetales	13
bacteria-6644	alcaligenes	13
bacteria-7948	bartonella henselae	13
bacteria-5002	burkholderia cepacia	13
bacteria-3308	coxiella burnetii	13
bacteria-4844	enterococcaceae	13
bacteria-10612	lactobacillus fermentum	13
bacteria-2431	leuconostoc	13
bacteria-8289	pasteurella multocida	13
bacteria-8804	rickettsia	13
