Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Campylobacter coli	LISTA 1			brassica napus	Lista 2	No esta en lista	planta		equus caballus papillomavirus 2	lista 3	No esta en lista
Campylobacter concisus	LISTA 1			brassica rapa	Lista 2	No esta en lista	planta		erinaceus	lista 3	No esta en lista
Campylobacter cuniculorum	LISTA 1			brevibacillus	Lista 2	No esta en lista			erythrovirus b19	lista 3	No esta en lista
Campylobacter curvus	LISTA 1			brevibacillus brevis	Lista 2	No esta en lista			escherichia	lista 3	No esta en lista
Campylobacter fetus	LISTA 1			brevibacillus choshinensis	Lista 2	No esta en lista			escherichia coli	lista 3	LISTA 1
Campylobacter gracilis	LISTA 1			brevibacterium	Lista 2	No esta en lista			exogenous jaagsiekte sheep retrovirus	lista 3	No esta en lista
Campylobacter helveticus	LISTA 1			brevibacterium casei	Lista 2	No esta en lista			exogenous mouse mammary tumor	lista 3	No esta en lista
Campylobacter hominis	LISTA 1			brevundimonas	Lista 2	No esta en lista			fall chinook aquareovirus	lista 3	No esta en lista
Campylobacter hyointestinalis	LISTA 1			brochothrix	Lista 2	No esta en lista			fbr murine osteosarcoma	lista 3	No esta en lista
Campylobacter insulaenigrae	LISTA 1			brucella	Lista 2	No esta en lista			feline calicivirus	lista 3	No esta en lista
Campylobacter jejuni	LISTA 1			brucella abortus	Lista 2	No esta en lista			feline coronavirus	lista 3	No esta en lista
Campylobacter lanienae	LISTA 1			brucella canis	Lista 2	No esta en lista			feline foamy	lista 3	No esta en lista
Campylobacter lari	LISTA 1			brucella melitensis	Lista 2	No esta en lista			feline immunodeficiency	lista 3	No esta en lista
Campylobacter mucosalis	LISTA 1			brucella ovis	Lista 2	No esta en lista			feline infectious peritonitis	lista 3	No esta en lista
Campylobacter peloridis	LISTA 1			brucella suis	Lista 2	No esta en lista			feline leukemia	lista 3	No esta en lista
Campylobacter pinnipediorum	LISTA 1			bulleidia	Lista 2	No esta en lista			feline panleukopenia	lista 3	No esta en lista
Campylobacter rectus	LISTA 1			burkholderia	Lista 2	No esta en lista			feline papillomavirus	lista 3	No esta en lista
Campylobacter showae	LISTA 1			burkholderia cenocepacia	Lista 2	No esta en lista			feline sarcoma	lista 3	No esta en lista
Campylobacter sputorum	LISTA 1			burkholderia cepacia	Lista 2	No esta en lista			felis catus gammaherpesvirus 1	lista 3	No esta en lista
Campylobacter subantarcticus	LISTA 1			burkholderia contaminans	Lista 2	No esta en lista			felis catus papillomavirus	lista 3	No esta en lista
Campylobacter upsaliensis	LISTA 1			burkholderia gladioli	Lista 2	No esta en lista			felis catus papillomavirus 3	lista 3	No esta en lista
Campylobacter ureolyticus	LISTA 1			burkholderia mallei	Lista 2	No esta en lista			felis catus papillomavirus 6	lista 3	No esta en lista
Campylobacter volucris	LISTA 1			burkholderia pseudomallei	Lista 2	No esta en lista			felis catus papillomavirus-3	lista 3	No esta en lista
Candidatus Accumulibacter phosphatis	LISTA 1			burkholderiaceae	Lista 2	No esta en lista			felis domesticus papillomavirus	lista 3	No esta en lista
Candidatus Arthromitus sp. SFB-mouse	LISTA 1			burkholderiales	Lista 2	No esta en lista			fibropapilloma-associated turtle herpesvirus	lista 3	No esta en lista
Candidatus Atelocyanobacterium thalassa	LISTA 1			butyricicoccus	Lista 2	No esta en lista			filoviridae	lista 3	No esta en lista
Candidatus Azobacteroides pseudotrichonymphae	LISTA 1			butyricimonas	Lista 2	No esta en lista			fish lymphocystis disease	lista 3	No esta en lista
Candidatus Blochmannia chromaiodes	LISTA 1			butyrivibrio	Lista 2	No esta en lista			flanders	lista 3	No esta en lista
Candidatus Blochmannia clarithorax	LISTA 1			butyrivibrio fibrisolvens	Lista 2	No esta en lista			flaviviridae	lista 3	No esta en lista
Candidatus Blochmannia pennsylvanicus	LISTA 1			cajanus	Lista 2	No esta en lista			flavivirus	lista 3	No esta en lista
Candidatus Blochmannia rufipes	LISTA 1			cajanus cajan	Lista 2	No esta en lista			flavobacterium	lista 3	No esta en lista
Candidatus Blochmannia vafer	LISTA 1			caldithrix	Lista 2	No esta en lista			foot and mouth disease	lista 3	No esta en lista
Candidatus Brocadia sinica	LISTA 1			caldora	Lista 2	No esta en lista			foot-and-mouth disease	lista 3	No esta en lista
Candidatus Cloacimonas acidaminovorans	LISTA 1			calendula	Lista 2	No esta en lista	planta		fowl adenovirus	lista 3	No esta en lista
Candidatus Cytophaga massiliensis	LISTA 1			calendula officinalis	Lista 2	No esta en lista	planta		fowlpox	lista 3	No esta en lista
Candidatus Desulforudis audaxviator	LISTA 1			campylobacter	Lista 2	No esta en lista			friend mink cell focus-forming	lista 3	No esta en lista
Candidatus Endolissoclinum faulkneri	LISTA 1			campylobacter armoricus	Lista 2	No esta en lista			friend mink cell focus-inducing	lista 3	No esta en lista
Candidatus Glomeribacter gigasporarum	LISTA 1			campylobacter coli	Lista 2	LISTA 1			friend murine leukemia	lista 3	No esta en lista
Candidatus Ishikawaella capsulata	LISTA 1			campylobacter concisus	Lista 2	LISTA 1			friend spleen focus-forming	lista 3	No esta en lista
Candidatus Korarchaeum cryptofilum	LISTA 1			campylobacter fetus	Lista 2	LISTA 1			fujinami sarcoma	lista 3	No esta en lista
Candidatus Koribacter versatilis	LISTA 1			campylobacter jejuni	Lista 2	LISTA 1			fukuoka	lista 3	No esta en lista
Candidatus Mastigocoleus perforans	LISTA 1			campylobacter lari	Lista 2	LISTA 1			fusarium culmorum	lista 3	No esta en lista
Candidatus Methanomethylophilus alvus	LISTA 1			campylobacter ornithocola	Lista 2	No esta en lista			g2	lista 3	No esta en lista
Candidatus Moranella endobia	LISTA 1			campylobacter rectus	Lista 2	LISTA 1			gag	lista 3	No esta en lista
Candidatus Nasuia deltocephalinicola	LISTA 1			campylobacter showae	Lista 2	LISTA 1			gammaherpesvirinae	lista 3	No esta en lista
Candidatus Neoehrlichia lotoris	LISTA 1			campylobacter sputorum	Lista 2	LISTA 1			gammapapillomavirus	lista 3	No esta en lista
Candidatus Odyssella thessalonicensis	LISTA 1			campylobacter ureolyticus	Lista 2	LISTA 1			gammaproteobacteria	lista 3	No esta en lista
Candidatus Pelagibacter ubique	LISTA 1			campylobacterales	Lista 2	No esta en lista			garlic	lista 3	No esta en lista
Candidatus Photodesmus katoptron	LISTA 1			candidate	Lista 2	No esta en lista			gata	lista 3	No esta en lista
Candidatus Portiera aleyrodidarum	LISTA 1			candidatus	Lista 2	No esta en lista			gazdar murine sarcoma	lista 3	No esta en lista
Candidatus Puniceispirillum marinum	LISTA 1			candidatus arthromitus	Lista 2	No esta en lista			gb	lista 3	No esta en lista
Candidatus Regiella insecticola	LISTA 1			candidatus midichloria	Lista 2	No esta en lista			geminiviridae	lista 3	No esta en lista
Candidatus Riesia pediculicola	LISTA 1			candidatus mycoplasma	Lista 2	No esta en lista			geminivirus	lista 3	No esta en lista
Candidatus Riesia pediculischaeffi	LISTA 1			candidatus saccharibacteria	Lista 2	No esta en lista			genoa	lista 3	No esta en lista
Candidatus Ruthia magnifica	LISTA 1			candidatus saccharimonas	Lista 2	No esta en lista			genomoviridae	lista 3	No esta en lista
Candidatus Schmidhempelia bombi	LISTA 1			capnocytophaga	Lista 2	No esta en lista			genomovirus	lista 3	No esta en lista
Candidatus Soleaferrea massiliensis	LISTA 1			capnocytophaga gingivalis	Lista 2	LISTA 1			geobacillus	lista 3	No esta en lista
Candidatus Solibacter usitatus	LISTA 1			capnocytophaga ochracea	Lista 2	LISTA 1			giardia lamblia	lista 3	No esta en lista
Candidatus Streptomyces massiliensis	LISTA 1			capnocytophaga sputigena	Lista 2	LISTA 1			gibbon ape leukemia	lista 3	No esta en lista
Candidatus Streptomyces philanthi	LISTA 1			caproiciproducens	Lista 2	No esta en lista			grapevine	lista 3	No esta en lista
Candidatus Sulcia muelleri	LISTA 1			capsicum	Lista 2	No esta en lista	planta		green river chinook	lista 3	No esta en lista
Capim orthobunyavirus	LISTA 1			capsicum annuum	Lista 2	No esta en lista	planta		ground squirrel hepatitis	lista 3	No esta en lista
Capnocytophaga canimorsus	LISTA 1			cardiobacteriaceae	Lista 2	No esta en lista			group a rotavirus	lista 3	No esta en lista
Capnocytophaga cynodegmi	LISTA 1			cardiobacterium	Lista 2	No esta en lista			gs	lista 3	No esta en lista
Capnocytophaga gingivalis	LISTA 1			carica	Lista 2	No esta en lista			guaroa	lista 3	No esta en lista
Capnocytophaga granulosa	LISTA 1			carica papaya	Lista 2	No esta en lista	planta		gunnison's prairie dog retrovirus	lista 3	No esta en lista
Capnocytophaga haemolytica	LISTA 1			carnobacteriaceae	Lista 2	No esta en lista			haemophilus	lista 3	No esta en lista
Capnocytophaga ochracea	LISTA 1			carnobacterium	Lista 2	No esta en lista			hantavirus	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 324	LISTA 1			carnobacterium inhibens	Lista 2	No esta en lista			hanyang	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 326	LISTA 1			catabacter	Lista 2	No esta en lista			harvey murine sarcoma	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 329	LISTA 1			catabacter hongkongensis	Lista 2	No esta en lista			hazara	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 332	LISTA 1			catenibacterium	Lista 2	No esta en lista			hdag	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 335	LISTA 1			catharanthus	Lista 2	No esta en lista	planta		heliothis zea	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 336	LISTA 1			catharanthus roseus	Lista 2	No esta en lista	planta		hepacivirus	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 338	LISTA 1			cauliflower	Lista 2	No esta en lista	planta		hepatitis a	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 380	LISTA 1			caulobacter	Lista 2	No esta en lista			hepatitis b	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 412	LISTA 1			caulobacteraceae	Lista 2	No esta en lista			hepatitis c	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 863	LISTA 1			cedecea	Lista 2	No esta en lista			hepatitis d	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 864	LISTA 1			cedecea davisae	Lista 2	No esta en lista			hepatitis delta	lista 3	No esta en lista
Capnocytophaga sp. oral taxon 878	LISTA 1			cedecea neteri	Lista 2	No esta en lista			hepatitis e	lista 3	No esta en lista
Capnocytophaga sputigena	LISTA 1			cellulomonadaceae	Lista 2	No esta en lista			hepatitis g	lista 3	No esta en lista
Capraria yellow spot virus	LISTA 1			cellulomonas	Lista 2	No esta en lista			herbert	lista 3	No esta en lista
Caraparu orthobunyavirus	LISTA 1			cellulosilyticum	Lista 2	No esta en lista			heron hepatitis b	lista 3	No esta en lista
Cardinium endosymbiont of Bemisia tabaci	LISTA 1			cellulosilyticum ruminicola	Lista 2	No esta en lista			herpes	lista 3	No esta en lista
Cardinium endosymbiont of Encarsia pergandiella	LISTA 1			cellulosimicrobium	Lista 2	No esta en lista			herpes simplex	lista 3	No esta en lista
Castellaniella caeni	LISTA 1			cellulosimicrobium cellulans	Lista 2	No esta en lista			herpesvirales	lista 3	No esta en lista
Castellaniella defragrans	LISTA 1			centipeda	Lista 2	No esta en lista			herpesviridae	lista 3	No esta en lista
Cat Que orthobunyavirus	LISTA 1			chelativorans	Lista 2	No esta en lista			herpesvirus	lista 3	No esta en lista
Catelliglobosispora koreensis	LISTA 1			chelativorans intermedius	Lista 2	No esta en lista			hilary	lista 3	No esta en lista
Catharanthus yellow mosaic virus	LISTA 1			chickpea	Lista 2	No esta en lista	planta		hiv-1	lista 3	No esta en lista
Catu orthobunyavirus	LISTA 1			chilli	Lista 2	No esta en lista	comida		hiv-1 envelope	lista 3	No esta en lista
Cellulophaga algicola	LISTA 1			chitinophagaceae	Lista 2	No esta en lista			hiv-1 gag	lista 3	No esta en lista
Cellulophaga baltica	LISTA 1			chlamydia	Lista 2	No esta en lista			hiv-1 subtype c	lista 3	No esta en lista
Cellulophaga fucicola	LISTA 1			chlamydia pecorum	Lista 2	LISTA 1			hiv-2	lista 3	No esta en lista
Cellulophaga geojensis	LISTA 1			chlamydia pneumoniae	Lista 2	LISTA 1			hiv1	lista 3	No esta en lista
Cellulophaga lytica	LISTA 1			chlamydia psittaci	Lista 2	LISTA 1			hsv-1	lista 3	No esta en lista
Cercopithecine betaherpesvirus 5	LISTA 1			chlamydia trachomatis	Lista 2	LISTA 1			hsv-1 glycoprotein c	lista 3	No esta en lista
Cesiribacter andamanensis	LISTA 1			chlamydiae	Lista 2	No esta en lista			hsv-2	lista 3	No esta en lista
Chicken anemia virus	LISTA 1			chlamydiales	Lista 2	No esta en lista			hsv1	lista 3	No esta en lista
Chilli leaf curl Bhavanisagar virus	LISTA 1			chloroflexi	Lista 2	No esta en lista			hsv1 mutant	lista 3	No esta en lista
Chilli leaf curl India virus	LISTA 1			chondromyces	Lista 2	No esta en lista			htlv-2	lista 3	No esta en lista
Chilli leaf curl Kanpur virus	LISTA 1			christensenella	Lista 2	No esta en lista			htlv-i	lista 3	No esta en lista
Chilli leaf curl Vellanad virus	LISTA 1			christensenella minuta	Lista 2	No esta en lista			htlv-ii	lista 3	No esta en lista
Chilli leaf curl virus	LISTA 1			christensenellaceae	Lista 2	No esta en lista			human adenovirus	lista 3	No esta en lista
Chino del tomate virus	LISTA 1			chromobacterium	Lista 2	No esta en lista			human adenovirus 12	lista 3	No esta en lista
Chitinophaga ginsengisegetis	LISTA 1			chromobacterium violaceum	Lista 2	No esta en lista			human adenovirus 5	lista 3	No esta en lista
Chitinophaga japonensis	LISTA 1			chromohalobacter	Lista 2	No esta en lista			human adult t-cell leukemia	lista 3	No esta en lista
Chitinophaga pinensis	LISTA 1			chromohalobacter israelensis	Lista 2	No esta en lista			human astrovirus	lista 3	No esta en lista
Chitinophaga sancti	LISTA 1			chromohalobacter salexigens	Lista 2	No esta en lista			human betaretrovirus	lista 3	No esta en lista
Chlamydia abortus	LISTA 1			chryseobacterium	Lista 2	No esta en lista			human bocavirus	lista 3	No esta en lista
Chlamydia avium	LISTA 1			chryseobacterium indologenes	Lista 2	No esta en lista			human bufavirus	lista 3	No esta en lista
Chlamydia buteonis	LISTA 1			citrobacter	Lista 2	No esta en lista			human coronavirus	lista 3	No esta en lista
Chlamydia caviae	LISTA 1			citrobacter amalonaticus	Lista 2	No esta en lista			human coronavirus 229e	lista 3	No esta en lista
Chlamydia felis	LISTA 1			citrobacter freundii	Lista 2	No esta en lista			human coronavirus oc43	lista 3	No esta en lista
Chlamydia gallinacea	LISTA 1			citrobacter koseri	Lista 2	No esta en lista			human cytomegalovirus	lista 3	No esta en lista
Chlamydia ibidis	LISTA 1			citrobacter portucalensis	Lista 2	No esta en lista			human endogenous retrovirus	lista 3	No esta en lista
Chlamydia muridarum	LISTA 1			citrobacter rodentium	Lista 2	No esta en lista			human endogenous retrovirus k	lista 3	No esta en lista
Chlamydia pecorum	LISTA 1			citrobacter werkmanii	Lista 2	No esta en lista			human endogenous retrovirus k113	lista 3	No esta en lista
Chlamydia pneumoniae	LISTA 1			clavibacter	Lista 2	No esta en lista			human endogenous retrovirus w	lista 3	No esta en lista
Chlamydia psittaci	LISTA 1			clavibacter michiganensis	Lista 2	No esta en lista			human enterovirus	lista 3	No esta en lista
Chlamydia suis	LISTA 1			cleome	Lista 2	No esta en lista			human enterovirus 71	lista 3	No esta en lista
Chlamydia trachomatis	LISTA 1			cleome viscosa	Lista 2	No esta en lista			human enterovirus b	lista 3	No esta en lista
Chlorogloeopsis fritschii	LISTA 1			cloacibacterium	Lista 2	No esta en lista			human fecal	lista 3	No esta en lista
Chondromyces apiculatus	LISTA 1			clostridia	Lista 2	No esta en lista			human foamy	lista 3	No esta en lista
Chrysiogenes arsenatis	LISTA 1			clostridiaceae	Lista 2	No esta en lista			human gammaherpesvirus 8	lista 3	No esta en lista
Colobus guereza cytomegalovirus 1	LISTA 1			clostridiales	Lista 2	No esta en lista			human hepatitis	lista 3	No esta en lista
Congregibacter litoralis	LISTA 1			clostridiales family	Lista 2	No esta en lista			human hepatitis b	lista 3	No esta en lista
Coraliomargarita akajimensis	LISTA 1			clostridioides	Lista 2	No esta en lista			human herpes simplex	lista 3	No esta en lista
Corchorus golden mosaic virus	LISTA 1			clostridioides difficile	Lista 2	No esta en lista			human herpesvirus	lista 3	No esta en lista
Corchorus yellow vein virus	LISTA 1			clostridium	Lista 2	No esta en lista			human herpesvirus 4	lista 3	No esta en lista
Corynebacterium accolens	LISTA 1			clostridium acetobutylicum	Lista 2	No esta en lista			human herpesvirus 6	lista 3	No esta en lista
Corynebacterium afermentans	LISTA 1			clostridium beijerinckii	Lista 2	No esta en lista			human herpesvirus 6b	lista 3	No esta en lista
Corynebacterium ammoniagenes	LISTA 1			clostridium botulinum	Lista 2	No esta en lista			human herpesvirus 7	lista 3	No esta en lista
Corynebacterium amycolatum	LISTA 1			clostridium butyricum	Lista 2	No esta en lista			human herpesvirus 8	lista 3	No esta en lista
Corynebacterium appendicis	LISTA 1			clostridium celatum	Lista 2	No esta en lista			human immunodeficiency	lista 3	No esta en lista
Corynebacterium aquilae	LISTA 1			clostridium difficile	Lista 2	No esta en lista			human jc	lista 3	No esta en lista
Corynebacterium argentoratense	LISTA 1			clostridium hiranonis	Lista 2	No esta en lista			human leukemia	lista 3	No esta en lista
Corynebacterium aurimucosum	LISTA 1			clostridium hylemonae	Lista 2	No esta en lista			human lymphotropic	lista 3	No esta en lista
Corynebacterium bovis	LISTA 1			clostridium innocuum	Lista 2	No esta en lista			human mammary tumor	lista 3	No esta en lista
Corynebacterium callunae	LISTA 1			clostridium leptum	Lista 2	No esta en lista			human metapneumovirus	lista 3	No esta en lista
Corynebacterium capitovis	LISTA 1			clostridium ljungdahlii	Lista 2	No esta en lista			human papilloma	lista 3	No esta en lista
Corynebacterium casei	LISTA 1			clostridium novyi	Lista 2	No esta en lista			human papillomavirus	lista 3	No esta en lista
Corynebacterium caspium	LISTA 1			clostridium paraputrificum	Lista 2	No esta en lista			human papillomavirus 16	lista 3	No esta en lista
Corynebacterium ciconiae	LISTA 1			clostridium pasteurianum	Lista 2	No esta en lista			human papillomavirus 31	lista 3	No esta en lista
Corynebacterium coyleae	LISTA 1			clostridium perfringens	Lista 2	No esta en lista			human papillomavirus 33	lista 3	No esta en lista
Corynebacterium crenatum	LISTA 1			clostridium scindens	Lista 2	No esta en lista			human papillomavirus 38	lista 3	No esta en lista
Corynebacterium cystitidis	LISTA 1			clostridium septicum	Lista 2	No esta en lista			human papillomavirus 42	lista 3	No esta en lista
Corynebacterium deserti	LISTA 1			clostridium sporogenes	Lista 2	No esta en lista			human papillomavirus 58	lista 3	No esta en lista
Corynebacterium diphtheriae	LISTA 1			clostridium subterminale	Lista 2	No esta en lista			human papillomavirus e2	lista 3	No esta en lista
Corynebacterium doosanense	LISTA 1			clostridium symbiosum	Lista 2	No esta en lista			human papillomavirus e6	lista 3	No esta en lista
Corynebacterium durum	LISTA 1			clostridium tertium	Lista 2	No esta en lista			human papillomavirus e6 and e7	lista 3	No esta en lista
Corynebacterium efficiens	LISTA 1			clostridium tetani	Lista 2	No esta en lista			human papillomavirus l1	lista 3	No esta en lista
Corynebacterium falsenii	LISTA 1			clostridium tyrobutyricum	Lista 2	No esta en lista			human papovavirus bk	lista 3	No esta en lista
Corynebacterium flavescens	LISTA 1			collinsella	Lista 2	No esta en lista			human parainfluenza	lista 3	No esta en lista
Corynebacterium frankenforstense	LISTA 1			collinsella aerofaciens	Lista 2	No esta en lista			human parainfluenza 3	lista 3	No esta en lista
Corynebacterium freiburgense	LISTA 1			comamonadaceae	Lista 2	No esta en lista			human parechovirus	lista 3	No esta en lista
Corynebacterium freneyi	LISTA 1			comamonas	Lista 2	No esta en lista			human parvovirus b19	lista 3	No esta en lista
Corynebacterium genitalium	LISTA 1			comamonas kerstersii	Lista 2	No esta en lista			human pegivirus	lista 3	No esta en lista
Corynebacterium glucuronolyticum	LISTA 1			comamonas testosteroni	Lista 2	No esta en lista			human polyomavirus 6	lista 3	No esta en lista
Corynebacterium glutamicum	LISTA 1			coprobacillus	Lista 2	No esta en lista			human polyomavirus 7	lista 3	No esta en lista
Corynebacterium glyciniphilum	LISTA 1			coprobacter	Lista 2	No esta en lista			human polyomavirus 9	lista 3	No esta en lista
Corynebacterium halotolerans	LISTA 1			coprococcus	Lista 2	No esta en lista			human polyomavirus bk	lista 3	No esta en lista
Corynebacterium hoiho	LISTA 1			coprococcus comes	Lista 2	No esta en lista			human respiratory syncytial	lista 3	No esta en lista
Corynebacterium humireducens	LISTA 1			coprococcus eutactus	Lista 2	No esta en lista			human rhinovirus	lista 3	No esta en lista
Corynebacterium jeikeium	LISTA 1			corallococcus	Lista 2	No esta en lista			human rotavirus	lista 3	No esta en lista
Corynebacterium kroppenstedtii	LISTA 1			corallococcus coralloides	Lista 2	No esta en lista			human t cell leukemia	lista 3	No esta en lista
Corynebacterium lactis	LISTA 1			coreopsis	Lista 2	No esta en lista			human t cell lymphotrophic	lista 3	No esta en lista
Corynebacterium lipophiloflavum	LISTA 1			coriobacteriaceae	Lista 2	No esta en lista			human t cell lymphotropic	lista 3	No esta en lista
Corynebacterium lubricantis	LISTA 1			coriobacteriaceae bacterium	Lista 2	No esta en lista			human t-cell leukemia	lista 3	No esta en lista
Corynebacterium marinum	LISTA 1			corynebacterium	Lista 2	No esta en lista			human t-cell leukemia-lymphoma	lista 3	No esta en lista
Corynebacterium maris	LISTA 1			corynebacterium afermentans	Lista 2	LISTA 1			human t-cell lymphotrophic	lista 3	No esta en lista
Corynebacterium massiliense	LISTA 1			corynebacterium amycolatum	Lista 2	LISTA 1			human t-cell lymphotropic	lista 3	No esta en lista
Corynebacterium mastitidis	LISTA 1			corynebacterium bovis	Lista 2	LISTA 1			human t-lymphotropic	lista 3	No esta en lista
Corynebacterium matruchotii	LISTA 1			corynebacterium diphtheriae	Lista 2	LISTA 1			ias	lista 3	No esta en lista
Corynebacterium minutissimum	LISTA 1			corynebacterium glutamicum	Lista 2	LISTA 1			ilheus	lista 3	No esta en lista
Corynebacterium mucifaciens	LISTA 1			corynebacterium jeikeium	Lista 2	LISTA 1			infectious bursal disease	lista 3	No esta en lista
Corynebacterium nuruki	LISTA 1			corynebacterium macginleyi	Lista 2	No esta en lista			infectious laryngotracheitis	lista 3	No esta en lista
Corynebacterium otitidis	LISTA 1			corynebacterium minutissimum	Lista 2	LISTA 1			infectious pancreatic necrosis	lista 3	No esta en lista
Corynebacterium pilbarense	LISTA 1			corynebacterium riegelii	Lista 2	No esta en lista			influenza	lista 3	No esta en lista
Corynebacterium pilosum	LISTA 1			corynebacterium simulans	Lista 2	No esta en lista			influenza a	lista 3	No esta en lista
Corynebacterium propinquum	LISTA 1			corynebacterium stationis	Lista 2	LISTA 1			influenza b	lista 3	No esta en lista
Corynebacterium pseudodiphtheriticum	LISTA 1			corynebacterium striatum	Lista 2	LISTA 1			integration site	lista 3	No esta en lista
Corynebacterium pseudogenitalium	LISTA 1			corynebacterium tuberculostearicum	Lista 2	LISTA 1			jaagsiekte sheep retrovirus	lista 3	No esta en lista
Corynebacterium pseudotuberculosis	LISTA 1			corynebacterium urealyticum	Lista 2	LISTA 1			japanese encephalitis	lista 3	No esta en lista
Corynebacterium pyruviciproducens	LISTA 1			corynebacterium xerosis	Lista 2	LISTA 1			jasmine	lista 3	No esta en lista
Corynebacterium resistens	LISTA 1			cosenzaea	Lista 2	No esta en lista			jc	lista 3	No esta en lista
Corynebacterium sphenisci	LISTA 1			cowpea	Lista 2	No esta en lista			jc polyomavirus	lista 3	No esta en lista
Corynebacterium sputi	LISTA 1			coxiella	Lista 2	No esta en lista			junin	lista 3	No esta en lista
Corynebacterium stationis	LISTA 1			coxiella burnetii	Lista 2	No esta en lista			kadipiro	lista 3	No esta en lista
Corynebacterium striatum	LISTA 1			cronobacter	Lista 2	No esta en lista			kama	lista 3	No esta en lista
Corynebacterium suicordis	LISTA 1			cronobacter sakazakii	Lista 2	No esta en lista			kaposi's sarcoma-associated herpesvirus	lista 3	No esta en lista
Corynebacterium terpenotabidum	LISTA 1			crotalaria	Lista 2	No esta en lista			ki polyomavirus	lista 3	No esta en lista
Corynebacterium timonense	LISTA 1			croton	Lista 2	No esta en lista			kilham rat	lista 3	No esta en lista
Corynebacterium tuberculostearicum	LISTA 1			cruoricaptor	Lista 2	No esta en lista			kirsten murine sarcoma	lista 3	No esta en lista
Corynebacterium tuscaniense	LISTA 1			cruoricaptor ignavus	Lista 2	No esta en lista			klebsiella	lista 3	No esta en lista
Corynebacterium ulcerans	LISTA 1			cucurbita	Lista 2	No esta en lista			koala retrovirus	lista 3	No esta en lista
Corynebacterium ulceribovis	LISTA 1			cupriavidus	Lista 2	No esta en lista			kobuvirus	lista 3	No esta en lista
Corynebacterium urealyticum	LISTA 1			cupriavidus pauculus	Lista 2	No esta en lista			kotonkan	lista 3	No esta en lista
Corynebacterium variabile	LISTA 1			curtobacterium	Lista 2	No esta en lista			kunjin	lista 3	No esta en lista
Corynebacterium vitaeruminis	LISTA 1			curtobacterium pusillum	Lista 2	No esta en lista			kyasanur forest disease	lista 3	No esta en lista
Corynebacterium xerosis	LISTA 1			cutibacterium	Lista 2	No esta en lista			lactobacillus johnsonii ncc 533	lista 3	No esta en lista
Cotton leaf crumple virus	LISTA 1			cutibacterium acnes	Lista 2	No esta en lista			lagos bat	lista 3	No esta en lista
Cotton leaf curl Alabad virus	LISTA 1			cutibacterium avidum	Lista 2	No esta en lista			langat	lista 3	No esta en lista
Cotton leaf curl Bangalore virus	LISTA 1			cutibacterium granulosum	Lista 2	No esta en lista			lassa	lista 3	No esta en lista
Cotton leaf curl Burewala virus	LISTA 1			cutibacterium modestum	Lista 2	No esta en lista			latent membrane	lista 3	No esta en lista
Cotton leaf curl Gezira virus	LISTA 1			cyanobacteria	Lista 2	No esta en lista			lcmv	lista 3	No esta en lista
Cotton leaf curl Khokran virus	LISTA 1			cyanobacterium	Lista 2	No esta en lista			legionella	lista 3	No esta en lista
Cotton leaf curl Kokhran virus	LISTA 1			cyanothece	Lista 2	No esta en lista			legionella lansingensis	lista 3	LISTA 1
Cotton leaf curl Multan virus	LISTA 1			cycloclasticus	Lista 2	No esta en lista			leishmania	lista 3	No esta en lista
Cotton leaf curl Rajasthan virus	LISTA 1			cystobacter	Lista 2	No esta en lista			leopardus wiedii papillomavirus	lista 3	No esta en lista
Cotton leaf curl virus	LISTA 1			datura	Lista 2	No esta en lista			lettuce	lista 3	No esta en lista
Crassocephalum yellow vein virus	LISTA 1			datura stramonium	Lista 2	No esta en lista			listeria	lista 3	No esta en lista
Croton yellow vein mosaic virus	LISTA 1			defluviicoccus	Lista 2	No esta en lista			listeria monocytogenes	lista 3	LISTA 1
Croton yellow vein virus	LISTA 1			deinococcus	Lista 2	No esta en lista			louping ill	lista 3	No esta en lista
Cryptosporangium arvum	LISTA 1			deinococcus radiodurans	Lista 2	No esta en lista			lymphocryptovirus	lista 3	No esta en lista
Cryptosporangium japonicum	LISTA 1			deinococcus-thermus	Lista 2	No esta en lista			lymphocystis disease	lista 3	No esta en lista
Cucumber green mottle mosaic virus	LISTA 1			delftia	Lista 2	No esta en lista			lymphocytic choriomeningitis	lista 3	No esta en lista
Cucurbit leaf crumple virus	LISTA 1			delftia acidovorans	Lista 2	No esta en lista			lymphoproliferative disease	lista 3	No esta en lista
Cytophaga allerginae	LISTA 1			delftia tsuruhatensis	Lista 2	No esta en lista			macaca arctoides gammaherpesvirus 1	lista 3	No esta en lista
Cytophaga aurantiaca	LISTA 1			deltaproteobacteria	Lista 2	No esta en lista			macaca fascicularis papillomavirus	lista 3	No esta en lista
