Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Agrobacterium vitis	LISTA 1			aerococcaceae	Lista 2	No esta en lista			avian polyomavirus	lista 3	No esta en lista
Agrococcus casei	LISTA 1			aerococcus	Lista 2	No esta en lista			avian reovirus	lista 3	No esta en lista
Agrococcus lahaulensis	LISTA 1			aerococcus urinae	Lista 2	LISTA 1			avian retrovirus	lista 3	No esta en lista
Agrococcus pavilionensis	LISTA 1			aerococcus viridans	Lista 2	LISTA 1			avian sarcoma	lista 3	No esta en lista
Agromyces cerinus	LISTA 1			aeromonadaceae	Lista 2	No esta en lista			avipoxvirus	lista 3	No esta en lista
Agromyces italicus	LISTA 1			aeromonas	Lista 2	No esta en lista			b component	lista 3	No esta en lista
Agromyces mediolanus	LISTA 1			aeromonas caviae	Lista 2	No esta en lista			b19	lista 3	No esta en lista
Agromyces subbeticus	LISTA 1			aeromonas dhakensis	Lista 2	No esta en lista			baboon reovirus	lista 3	No esta en lista
Agromyces ulmi	LISTA 1			aeromonas hydrophila	Lista 2	No esta en lista			bacilladnavirus	lista 3	No esta en lista
Aino orthobunyavirus	LISTA 1			aeromonas sobria	Lista 2	No esta en lista			bacillus anthracis	lista 3	LISTA 1
Akabane orthobunyavirus	LISTA 1			aeromonas veronii	Lista 2	No esta en lista			bacillus subtilis	lista 3	LISTA 1
Akkermansia muciniphila	LISTA 1			aggregatibacter	Lista 2	No esta en lista			bacteriophage	lista 3	No esta en lista
Alajuela orthobunyavirus	LISTA 1			aggregatibacter actinomycetemcomitans	Lista 2	LISTA 1			bacteriophage lambda	lista 3	No esta en lista
Alcaligenes faecalis	LISTA 1			aggregatibacter segnis	Lista 2	LISTA 1			bacteriophage p1	lista 3	No esta en lista
Algicola sagamiensis	LISTA 1			agrobacterium	Lista 2	No esta en lista			bacteriophage p2	lista 3	No esta en lista
Algiphilus aromaticivorans	LISTA 1			agrobacterium tumefaciens	Lista 2	LISTA 1			bacteriophage phix174	lista 3	No esta en lista
Algoriphagus boritolerans	LISTA 1			agrobacterium vitis	Lista 2	LISTA 1			baculoviridae	lista 3	No esta en lista
Algoriphagus mannitolivorans	LISTA 1			agrococcus	Lista 2	No esta en lista			baker	lista 3	No esta en lista
Algoriphagus marincola	LISTA 1			akkermansia	Lista 2	No esta en lista			bandicoot papillomatosis carcinomatosis	lista 3	No esta en lista
Algoriphagus terrigena	LISTA 1			akkermansia muciniphila	Lista 2	LISTA 1			bartonella	lista 3	No esta en lista
Algoriphagus vanfongensis	LISTA 1			akkermansiaceae	Lista 2	No esta en lista			bartonella quintana	lista 3	No esta en lista
Aliagarivorans marinus	LISTA 1			albizia	Lista 2	No esta en lista	planta		beauveria bassiana	lista 3	No esta en lista
Aliagarivorans taiwanensis	LISTA 1			albizia lebbeck	Lista 2	No esta en lista	planta		becurtovirus	lista 3	No esta en lista
Aliiglaciecola lipolytica	LISTA 1			alcaligenaceae	Lista 2	No esta en lista			betacoronavirus	lista 3	No esta en lista
Alkanindiges illinoisensis	LISTA 1			alcaligenes	Lista 2	No esta en lista			bivalve	lista 3	No esta en lista
Alphaglobulovirus PSV	LISTA 1			alcaligenes faecalis	Lista 2	LISTA 1			bk	lista 3	No esta en lista
Alphaglobulovirus PSV2	LISTA 1			alcanivorax	Lista 2	No esta en lista			bk polyomavirus	lista 3	No esta en lista
Alphaglobulovirus TSPV1	LISTA 1			alicyclobacillus	Lista 2	No esta en lista			black syrian hamster retrovirus	lista 3	No esta en lista
Alphaglobulovirus TTSV1	LISTA 1			alistipes	Lista 2	No esta en lista			bluetongue	lista 3	No esta en lista
Aminiphilus circumscriptus	LISTA 1			alistipes communis	Lista 2	No esta en lista			bohle iridovirus	lista 3	No esta en lista
Aminomonas paucivorans	LISTA 1			alistipes finegoldii	Lista 2	No esta en lista			bordetella	lista 3	No esta en lista
Anadyr orthobunyavirus	LISTA 1			alistipes indistinctus	Lista 2	No esta en lista			borna disease	lista 3	No esta en lista
Anaerophaga thermohalophila	LISTA 1			alistipes onderdonkii	Lista 2	No esta en lista			bornavirus	lista 3	No esta en lista
Ananindeua orthobunyavirus	LISTA 1			alistipes putredinis	Lista 2	No esta en lista			bos taurus papillomavirus	lista 3	No esta en lista
Anhembi orthobunyavirus	LISTA 1			alistipes senegalensis	Lista 2	No esta en lista			botrytis	lista 3	No esta en lista
Anopheles A orthobunyavirus	LISTA 1			alistipes shahii	Lista 2	No esta en lista			botrytis cinerea	lista 3	No esta en lista
Anopheles B orthobunyavirus	LISTA 1			alkaliphilus	Lista 2	No esta en lista			bovine adenovirus	lista 3	No esta en lista
Apeu orthobunyavirus	LISTA 1			allobaculum	Lista 2	No esta en lista			bovine coronavirus	lista 3	No esta en lista
Archaeoglobus fulgidus	LISTA 1			alloprevotella	Lista 2	No esta en lista			bovine enteric	lista 3	No esta en lista
Archaeoglobus infectus	LISTA 1			alloprevotella tannerae	Lista 2	No esta en lista			bovine enterovirus	lista 3	No esta en lista
Archaeoglobus profundus	LISTA 1			alloscardovia	Lista 2	No esta en lista			bovine herpesvirus	lista 3	No esta en lista
Archaeoglobus sulfaticallidus	LISTA 1			almond	Lista 2	No esta en lista			bovine herpesvirus 1	lista 3	No esta en lista
Archaeoglobus veneficus	LISTA 1			alpha	Lista 2	No esta en lista	Letra 		bovine herpesvirus 4	lista 3	No esta en lista
Archangium violaceum	LISTA 1			alphaproteobacteria	Lista 2	No esta en lista			bovine herpesvirus-1	lista 3	No esta en lista
Arcobacter nitrofigilis	LISTA 1			amaranthus	Lista 2	No esta en lista	planta		bovine herpesvirus-4	lista 3	No esta en lista
Arcobacter suis	LISTA 1			amycolatopsis	Lista 2	No esta en lista			bovine immunodeficiency	lista 3	No esta en lista
Arsenicicoccus bolidensis	LISTA 1			amycolatopsis orientalis	Lista 2	No esta en lista			bovine leukemia	lista 3	No esta en lista
Atopobium fossor	LISTA 1			anabaena	Lista 2	No esta en lista			bovine papillomavirus	lista 3	No esta en lista
Atopobium minutum	LISTA 1			anabaena variabilis	Lista 2	No esta en lista			bovine papillomavirus e5	lista 3	No esta en lista
