internalId	Name	Mentions
virus-15290	echovirus 5	1
virus-45690	ecotropic murine leukemia	13
virus-58523	ectromelia	7
virus-25960	edwardsiella	4
virus-57256	encephalomyocarditis	36
virus-30461	endogenous mouse mammary tumor	3
virus-16340	endogenous retrovirus	36
virus-15980	enterococcus	445
virus-29242	enterovirus	29
virus-68811	enterovirus 71	4
virus-45755	enterovirus a	1
virus-45529	enterovirus a71	1
virus-6866	enterovirus b	1
virus-6525	enterovirus d68	1
virus-402	envelope	187
virus-35464	enzootic nasal tumour	4
virus-30744	epstein barr	53
virus-12421	epstein-barr	861
virus-51928	equine arteritis	1
virus-61502	equine herpesvirus	4
virus-59917	equine papillomavirus	1
virus-33030	equus caballus papillomavirus	1
virus-68925	equus caballus papillomavirus 2	1
virus-20115	erinaceus	5
virus-61844	erythrovirus b19	3
virus-42263	escherichia	1156
virus-14003	escherichia coli	1070
virus-71940	exogenous jaagsiekte sheep retrovirus	1
virus-26974	exogenous mouse mammary tumor	3
virus-57621	fall chinook aquareovirus	1
virus-55730	fbr murine osteosarcoma	3
virus-34694	feline calicivirus	1
virus-52881	feline coronavirus	1
virus-47631	feline foamy	2
virus-43737	feline immunodeficiency	8
virus-33770	feline infectious peritonitis	2
virus-30322	feline leukemia	75
virus-46139	feline panleukopenia	2
virus-32221	feline papillomavirus	2
virus-56396	feline sarcoma	55
virus-5050	felis catus gammaherpesvirus 1	1
virus-22736	felis catus papillomavirus	4
virus-8319	felis catus papillomavirus 3	1
virus-28776	felis catus papillomavirus 6	1
virus-47974	felis catus papillomavirus-3	1
virus-20882	felis domesticus papillomavirus	1
virus-46899	fibropapilloma-associated turtle herpesvirus	1
virus-48957	filoviridae	1
virus-33665	fish lymphocystis disease	2
virus-43718	flanders	1
virus-61067	flaviviridae	5
virus-21074	flavivirus	5
virus-27498	flavobacterium	12
virus-43015	foot and mouth disease	1
virus-13408	foot-and-mouth disease	3
virus-38891	fowl adenovirus	3
virus-18191	fowlpox	6
virus-73050	friend mink cell focus-forming	1
virus-34417	friend mink cell focus-inducing	2
virus-62788	friend murine leukemia	18
virus-53515	friend spleen focus-forming	19
virus-59373	fujinami sarcoma	6
virus-600	fukuoka	3
virus-24682	fusarium culmorum	2
virus-32486	g2	34
virus-29223	gag	94
virus-43853	gammaherpesvirinae	3
virus-41174	gammapapillomavirus	4
virus-14587	gammaproteobacteria	27
virus-1541	garlic	18
virus-39932	gata	1
virus-37355	gazdar murine sarcoma	1
virus-45905	gb	17
virus-26897	geminiviridae	2
virus-19439	geminivirus	2
virus-49867	genoa	4
virus-22536	genomoviridae	1
virus-56498	genomovirus	1
virus-38219	geobacillus	4
virus-26981	giardia lamblia	3
virus-4545	gibbon ape leukemia	8
virus-18526	grapevine	1
virus-19562	green river chinook	1
virus-65866	ground squirrel hepatitis	3
virus-3061	group a rotavirus	1
virus-65290	gs	21
virus-60964	guaroa	1
virus-44049	gunnison's prairie dog retrovirus	1
virus-23456	haemophilus	121
virus-8996	hantavirus	1
virus-21263	hanyang	2
virus-33671	harvey murine sarcoma	17
virus-42844	hazara	1
virus-67311	hdag	1
virus-73260	heliothis zea	1
virus-71146	hepacivirus	2
virus-21947	hepatitis a	12
virus-58374	hepatitis b	486
virus-52377	hepatitis c	315
virus-14697	hepatitis d	6
virus-4819	hepatitis delta	11
virus-59315	hepatitis e	7
virus-72531	hepatitis g	4
virus-48711	herbert	3
virus-45004	heron hepatitis b	3
virus-3528	herpes	758
virus-1954	herpes simplex	566
virus-48654	herpesvirales	1
virus-9773	herpesviridae	13
virus-32370	herpesvirus	395
virus-10302	hilary	2
virus-45076	hiv1	2
virus-42604	hiv-1	101
virus-22541	hiv-1 envelope	3
virus-4301	hiv-1 gag	1
virus-68775	hiv-1 subtype c	1
virus-39152	hiv-2	5
virus-29655	hsv1	9
virus-57939	hsv-1	130
virus-43256	hsv-1 glycoprotein c	1
virus-54382	hsv1 mutant	2
virus-26358	hsv-2	58
virus-1055	htlv-2	11
virus-44325	htlv-i	39
virus-23134	htlv-ii	12
virus-43542	human adenovirus	58
virus-14850	human adenovirus 12	2
virus-35250	human adenovirus 5	1
virus-25566	human adult t-cell leukemia	1
virus-35039	human astrovirus	2
virus-22092	human betaretrovirus	2
virus-56221	human bocavirus	6
virus-6148	human bufavirus	1
virus-17006	human coronavirus	9
virus-38758	human coronavirus 229e	2
virus-48106	human coronavirus oc43	1
virus-43967	human cytomegalovirus	75
virus-55390	human endogenous retrovirus	18
virus-19010	human endogenous retrovirus k	5
virus-33972	human endogenous retrovirus k113	1
virus-71996	human endogenous retrovirus w	1
virus-25253	human enterovirus	3
virus-71632	human enterovirus 71	1
virus-65745	human enterovirus b	1
virus-26396	human fecal	36
virus-72568	human foamy	1
virus-31910	human gammaherpesvirus 8	1
virus-37998	human hepatitis	15
virus-68880	human hepatitis b	11
virus-66037	human herpes simplex	11
virus-57285	human herpesvirus	102
virus-53618	human herpesvirus 4	3
virus-72950	human herpesvirus 6	11
virus-63561	human herpesvirus 6b	2
virus-57438	human herpesvirus 7	3
virus-21593	human herpesvirus 8	49
virus-63522	human immunodeficiency	244
virus-58599	human jc	4
virus-43992	human leukemia	49
virus-53127	human lymphotropic	3
virus-62618	human mammary tumor	11
virus-61303	human metapneumovirus	9
virus-30218	human papilloma	469
virus-39506	human papillomavirus	1311
virus-23689	human papillomavirus 16	32
virus-43502	human papillomavirus 31	1
virus-51170	human papillomavirus 33	1
virus-70272	human papillomavirus 38	1
virus-54507	human papillomavirus 42	1
virus-54157	human papillomavirus 58	1
virus-49239	human papillomavirus e2	2
virus-68660	human papillomavirus e6	3
virus-62038	human papillomavirus e6 and e7	1
virus-11343	human papillomavirus l1	1
virus-957	human papovavirus bk	2
virus-67800	human parainfluenza	7
virus-68862	human parainfluenza 3	2
virus-20206	human parechovirus	1
virus-7069	human parvovirus b19	4
virus-40852	human pegivirus	3
virus-60415	human polyomavirus 6	1
virus-57235	human polyomavirus 7	2
virus-67714	human polyomavirus 9	1
virus-11995	human polyomavirus bk	5
virus-70926	human respiratory syncytial	6
virus-29807	human rhinovirus	8
virus-25060	human rotavirus	2
virus-52023	human t cell leukemia	12
virus-59867	human t cell lymphotrophic	2
virus-26156	human t cell lymphotropic	7
virus-43057	human t-cell leukemia	48
virus-66453	human t-cell leukemia-lymphoma	2
virus-49611	human t-cell lymphotrophic	5
virus-24497	human t-cell lymphotropic	45
virus-12500	human t-lymphotropic	24
virus-22585	ias	2
virus-10864	ilheus	2
virus-25635	infectious bursal disease	2
virus-19536	infectious laryngotracheitis	3
virus-68511	infectious pancreatic necrosis	1
virus-24642	influenza	197
virus-15140	influenza a	42
virus-73503	influenza b	12
virus-61050	integration site	25
virus-12711	jaagsiekte sheep retrovirus	22
virus-1656	japanese encephalitis	8
virus-70986	jasmine	1
virus-45161	jc	110
virus-28085	jc polyomavirus	10
virus-18467	junin	3
virus-29625	kadipiro	1
virus-2899	kama	1
virus-35096	kaposi's sarcoma-associated herpesvirus	56
virus-65663	ki polyomavirus	3
virus-20875	kilham rat	4
virus-69985	kirsten murine sarcoma	36
virus-33504	klebsiella	402
virus-56261	koala retrovirus	1
virus-69756	kobuvirus	1
virus-16360	kotonkan	1
virus-36376	kunjin	1
virus-7290	kyasanur forest disease	1
virus-73012	lactobacillus johnsonii ncc 533	1
virus-66703	lagos bat	1
virus-67212	langat	1
virus-7352	lassa	3
virus-51664	latent membrane	41
virus-29902	lcmv	6
virus-45052	legionella	32
virus-8616	legionella lansingensis	1
virus-65914	leishmania	15
virus-57577	leopardus wiedii papillomavirus	1
virus-1576	lettuce	3
virus-10579	listeria	159
virus-7747	listeria monocytogenes	126
virus-54603	louping ill	1
virus-43518	lymphocryptovirus	7
virus-55253	lymphocystis disease	3
virus-57237	lymphocytic choriomeningitis	22
virus-32782	lymphoproliferative disease	23
virus-53406	macaca arctoides gammaherpesvirus 1	1
virus-72315	macaca fascicularis papillomavirus	1
virus-9848	maedi-visna	1
virus-1978	mammalian orthoreovirus	3
virus-52141	mannheimia	1
virus-36324	maraba	10
virus-34141	marburg	2
virus-73035	marek's disease	46
virus-53604	massilia	1
virus-8698	mastadenovirus	1
virus-10295	mastic	1
virus-36434	measles	132
virus-67455	mengo	3
virus-39511	merkel cell polyomavirus	70
virus-68275	metapneumovirus	14
virus-53883	mimiviridae	1
virus-4168	mink cell focus-forming	10
virus-17377	mirabilis mosaic	1
virus-60362	mlv-related	1
virus-30108	modified vaccinia ankara	3
virus-56935	mokola	1
virus-56889	molluscum contagiosum	8
virus-17293	moloney murine leukemia	52
virus-52424	moloney murine sarcoma	39
virus-51689	mononegavirales	4
virus-62742	montpellier	2
virus-58133	morbillivirus	2
virus-18522	mott	1
virus-27479	mouse adenovirus	1
virus-56772	mouse hepatitis	7
virus-60547	mouse leukemia	117
virus-73665	mouse mammary tumor	107
virus-17417	mouse polyomavirus	3
virus-27682	mucorales	9
virus-55902	mulv	68
virus-30394	mume	1
virus-32857	mumps	30
virus-15469	murid herpesvirus 4	1
virus-61077	murine astrovirus	1
virus-6904	murine astrovirus 2	1
virus-7107	murine coronavirus	1
virus-9010	murine cytomegalovirus	4
virus-22203	murine hepatitis	2
virus-44258	murine herpesvirus	1
virus-61093	murine leukemia	349
virus-6410	murine norovirus	2
virus-53030	murine osteosarcoma	6
virus-11052	murine pneumonia	1
virus-17128	murine polyomavirus	4
virus-70603	murine sarcoma	224
virus-38320	murine xenotropic	4
virus-24793	mus musculus papillomavirus	1
virus-57364	mus musculus papillomavirus 1	1
virus-1615	mutant hepatitis b	1
virus-30398	mutant japanese encephalitis	1
virus-30427	mvm	4
virus-31046	mx polyomavirus	1
virus-68434	mycobacterium	348
virus-29592	mycobacterium marinum	3
virus-8528	mycoplasma	211
virus-14604	mycoplasma arthritidis	5
virus-22430	mycoplasma pneumoniae	20
virus-28566	myeloblastosis-associated	9
virus-643	myeloproliferative leukemia	1
virus-66701	myeloproliferative sarcoma	7
virus-9015	myoviridae	5
virus-57404	mytilus	1
virus-38382	myxoma	79
virus-11887	natrinema	1
virus-31589	nef	2
virus-28471	negishi	1
virus-36974	nodamura	1
virus-61587	nora	1
virus-62468	norovirus	12
virus-48313	nova	4
virus-12083	ns3	7
virus-71068	ns-5	1
virus-731	nse	1
virus-31502	nuclear polyhedrosis	3
virus-66337	nucleocapsid	9
virus-65853	nucleoprotein	6
virus-14806	obodhiang	1
virus-56427	omphalodes	1
virus-67140	opuntia	2
virus-5053	orbivirus	1
virus-15097	orthobunyavirus	1
virus-31259	orthopoxvirus	4
virus-20070	orthoreovirus	7
virus-8635	ovine enzootic nasal tumor	1
virus-69912	ovine enzootic nasal tumour	1
virus-1566	ovine lentivirus	2
virus-54539	ovine papillomavirus	1
virus-13692	ovine pulmonary adenocarcinoma	6
virus-16068	ovine pulmonary carcinoma	2
virus-72490	ovis aries papillomavirus	1
virus-45622	palmer	2
virus-58699	panax	16
virus-1086	panax notoginseng	4
virus-21896	papillomaviridae	22
virus-51450	papovavirus bkv	1
virus-17605	parainfluenza	46
virus-17569	parainfluenza-3	2
virus-27754	paramyxoviridae	3
virus-36583	paramyxovirus	16
virus-53308	parapoxvirus	3
virus-59388	parechovirus	2
virus-17703	parvoviridae	8
virus-9291	pediococcus	17
virus-71450	pediococcus pentosaceus	5
virus-72011	pegivirus	4
virus-36139	pegivirus c	1
virus-10834	penicillium chrysogenum	2
virus-1971	persimmon	1
virus-70567	peste des petits ruminants	1
virus-17336	pestivirus	1
virus-39096	phage	80
virus-54505	phycodnaviridae	1
virus-6741	phytomonas	6
virus-14618	picornavirales	1
virus-36149	picornaviridae	2
virus-26757	piper	3
virus-63299	plantain	2
virus-53437	pleurotus ostreatus	2
virus-62069	pneumonia	325
virus-5087	podosphaera	1
virus-11694	podoviridae	2
virus-72441	poliovirus	58
virus-31535	polyoma	316
virus-48951	polyomaviridae	18
virus-4815	polyomavirus	214
virus-4271	polyomavirus jc	3
virus-59871	polyprotein	16
virus-47387	polytropic murine leukemia	1
virus-44790	porcine adenovirus	1
virus-5571	porcine adenovirus 4	1
virus-29960	porcine epidemic diarrhea	1
virus-3441	porcine parvovirus	1
virus-45097	powassan	1
virus-9343	poxviridae	6
virus-19505	precore	5
virus-59438	pre-s1	1
virus-42795	prevotella	339
virus-5484	prevotella buccae	3
virus-72362	prochlorococcus	1
virus-45979	protoparvovirus	10
virus-41348	providence	1
virus-10045	prrs	26
virus-33799	prunus	3
virus-70085	pseudomonas	720
virus-59119	pseudomonas aeruginosa	487
virus-50453	pseudorabies	5
virus-24966	punta toro	1
virus-54600	quebec polyomavirus	1
virus-18173	rabbit fibroma	7
virus-14534	rabbit haemorrhagic disease	1
