
[Brevibacterium] flavum
Candidatus Atelocyanobacterium thalassa
Candidatus Azobacteroides pseudotrichonymphae
Candidatus Blochmannia chromaiodes
Candidatus Blochmannia clarithorax
Candidatus Blochmannia pennsylvanicus
Candidatus Blochmannia rufipes
Candidatus Blochmannia vafer
Candidatus Brocadia sinica
Candidatus Cloacimonas acidaminovorans
Candidatus Cytophaga massiliensis
Candidatus Desulforudis audaxviator
Candidatus Endolissoclinum faulkneri
Candidatus Glomeribacter gigasporarum
Candidatus Ishikawaella capsulata
Candidatus Korarchaeum cryptofilum
Candidatus Koribacter versatilis
Candidatus Mastigocoleus perforans
Candidatus Methanomethylophilus alvus
Candidatus Moranella endobia
Candidatus Nasuia deltocephalinicola
Candidatus Neoehrlichia lotoris
Candidatus Odyssella thessalonicensis
Candidatus Pelagibacter ubique
Candidatus Photodesmus katoptron
Candidatus Portiera aleyrodidarum
Candidatus Puniceispirillum marinum
Candidatus Regiella insecticola
Candidatus Riesia pediculicola
Candidatus Riesia pediculischaeffi
Candidatus Ruthia magnifica
Candidatus Schmidhempelia bombi
Candidatus Soleaferrea massiliensis
Candidatus Solibacter usitatus
Candidatus Streptomyces massiliensis
Candidatus Streptomyces philanthi
Candidatus Sulcia muelleri
Capim orthobunyavirus
Capnocytophaga canimorsus
Capnocytophaga cynodegmi
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga haemolytica
Capnocytophaga ochracea
Capnocytophaga sp. oral taxon 324
Capnocytophaga sp. oral taxon 326
Capnocytophaga sp. oral taxon 329
Capnocytophaga sp. oral taxon 332
Capnocytophaga sp. oral taxon 335
Capnocytophaga sp. oral taxon 336
Capnocytophaga sp. oral taxon 338
Capnocytophaga sp. oral taxon 380
Capnocytophaga sp. oral taxon 412
Capnocytophaga sp. oral taxon 863
Capnocytophaga sp. oral taxon 864
Capnocytophaga sp. oral taxon 878
Capnocytophaga sputigena
Capraria yellow spot virus
Caraparu orthobunyavirus
Cardinium endosymbiont of Bemisia tabaci
Cardinium endosymbiont of Encarsia pergandiella
Castellaniella caeni
Castellaniella defragrans
Cat Que orthobunyavirus
Catelliglobosispora koreensis
Catharanthus yellow mosaic virus
Catu orthobunyavirus
Cellulophaga algicola
Cellulophaga baltica
Cellulophaga fucicola
Cellulophaga geojensis
Cellulophaga lytica
Cercopithecine betaherpesvirus 5
Cesiribacter andamanensis
Chicken anemia virus
Chilli leaf curl Bhavanisagar virus
Chilli leaf curl India virus
Chilli leaf curl Kanpur virus
Chilli leaf curl Vellanad virus
Chilli leaf curl virus
Chino del tomate virus
Chitinophaga ginsengisegetis
Chitinophaga japonensis
Chitinophaga pinensis
Chitinophaga sancti
Chlamydia abortus
Chlamydia avium
Chlamydia buteonis
Chlamydia caviae
Chlamydia felis
Chlamydia gallinacea
Chlamydia ibidis
Chlamydia muridarum
Chlamydia pecorum
Chlamydia pneumoniae
Chlamydia psittaci
Chlamydia suis
Chlamydia trachomatis
Chlorogloeopsis fritschii
Chondromyces apiculatus
Chrysiogenes arsenatis
Colobus guereza cytomegalovirus 1
Congregibacter litoralis
Coraliomargarita akajimensis
Corchorus golden mosaic virus
Corchorus yellow vein virus
Corynebacterium accolens
Corynebacterium afermentans
Corynebacterium ammoniagenes
Corynebacterium amycolatum
Corynebacterium appendicis
Corynebacterium aquilae
Corynebacterium argentoratense
Corynebacterium aurimucosum
Corynebacterium bovis
Corynebacterium callunae
Corynebacterium capitovis
Corynebacterium casei
Corynebacterium caspium
Corynebacterium ciconiae
Corynebacterium coyleae
Corynebacterium crenatum
Corynebacterium cystitidis
Corynebacterium deserti
Corynebacterium diphtheriae
Corynebacterium doosanense
Corynebacterium durum
Corynebacterium efficiens
Corynebacterium falsenii
Corynebacterium flavescens
Corynebacterium frankenforstense
Corynebacterium freiburgense
Corynebacterium freneyi
Corynebacterium genitalium
Corynebacterium glucuronolyticum
Corynebacterium glutamicum
Corynebacterium glyciniphilum
Corynebacterium halotolerans
Corynebacterium hoiho
Corynebacterium humireducens
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium lactis
Corynebacterium lipophiloflavum
Corynebacterium lubricantis
Corynebacterium marinum
Corynebacterium maris
Corynebacterium massiliense
